binary,size,compiler,static,domain
tcpdump,1123132,gcc(Alpine),FALSE,Network
tcpliveplay,185568,Unk,FALSE,Network
tcpprep,232928,Unk,FALSE,Network
tcpreplay,254240,Unk,FALSE,Network
tcpreplay-edit,380960,Unk,FALSE,Network
tcprewrite,300864,Unk,FALSE,Network
telnet.netkit,116120,gcc(-),FALSE,Network
test,56128,Unk,FALSE,System
testdisk,406608,Unk,FALSE,System
text2pcap,55464,Unk,FALSE,System
thunar,881128,Unk,FALSE,System
tic,92432,Unk,FALSE,System
tigerdeep,244120,gcc(3.X),FALSE,System
tmux,733056,gcc(Alpine),FALSE,System
top,125000,Unk,FALSE,System
touch,88280,Unk,FALSE,System
tpmc,54816,Unk,TRUE,System
tr,56160,Unk,FALSE,System
traceroute.db,72864,Unk,FALSE,Network
troff,769792,gcc(3.X),FALSE,System
trust,219664,Unk,FALSE,System
tshark,315400,Unk,FALSE,Network
tsk_comparedir,105248,gcc(3.X),FALSE,System
tsk_gettimes,97056,gcc(3.X),FALSE,System
tsk_loaddb,92960,gcc(3.X),FALSE,System
tsk_recover,101152,gcc(3.X),FALSE,System
tsort,56128,Unk,FALSE,System
udevadm,584072,Unk,FALSE,System
udisksctl,59616,Unk,FALSE,System
umax_pp,187624,Unk,FALSE,Network
uniq,52128,Unk,FALSE,System
unix2dos,51368,Unk,FALSE,System
unrar-nonfree,322784,gcc(3.X),FALSE,System
unsquashfs,115648,Unk,FALSE,System
unzip,179208,Unk,FALSE,System
unzipsfx,84816,Unk,FALSE,System
update-alternatives,59480,Unk,FALSE,System
update-mime-database,60608,Unk,FALSE,System
upx-ucl,1925080,gcc(3.X),FALSE,System
VBoxClient,1947440,Unk,FALSE,Network
vdir,133792,Unk,FALSE,System
vim,3296328,gcc(Alpine),FALSE,System
vim.basic,3169376,Unk,FALSE,System
vim.tiny,1404616,Unk,FALSE,System
voiphopper,97872,Unk,TRUE,Network
vsyasm,698664,gcc(GNU),TRUE,System
wash,835440,Unk,FALSE,Network
wdctl,63744,Unk,FALSE,System
webfuzz,63984,Unk,FALSE,Network
wg,130432,gcc(Alpine),FALSE,Network
wget,539936,Unk,FALSE,Network
whatis,52432,Unk,FALSE,System
whirlpooldeep,244120,gcc(3.X),FALSE,System
who,60384,Unk,FALSE,System
whois,160616,Unk,FALSE,System
winexe,135224,Unk,TRUE,Network
wpa_passphrase,80048,Unk,FALSE,System
x11perf,199104,Unk,FALSE,System
x11_spike,63984,Unk,FALSE,Network
x86_64-linux-gnu-ar,52192,Unk,FALSE,System
x86_64-linux-gnu-as,472248,Unk,FALSE,System
x86_64-linux-gnu-c++filt,129496,Unk,FALSE,System
x86_64-linux-gnu-cpp-10,817704,gcc(-),TRUE,System
x86_64-linux-gnu-g++-10,821800,gcc(-),TRUE,System
x86_64-linux-gnu-gcc-10,817704,gcc(-),TRUE,System
x86_64-linux-gnu-gcov-dump-10,245432,gcc(-),TRUE,System
x86_64-linux-gnu-gcov-tool-10,266008,gcc(-),TRUE,System
x86_64-linux-gnu-gprof,119056,Unk,FALSE,System
x86_64-linux-gnu-ld.bfd,1737864,Unk,FALSE,System
x86_64-linux-gnu-ld.gold,2248328,gcc(3.X),FALSE,System
x86_64-linux-gnu-objcopy,282008,Unk,FALSE,System
x86_64-linux-gnu-objdump,464664,Unk,FALSE,System
x86_64-linux-gnu-ranlib,52192,Unk,FALSE,System
x86_64-linux-gnu-readelf,609864,Unk,FALSE,System
x86_64-linux-gnu-strip,282040,Unk,FALSE,System
xargs,76152,Unk,FALSE,System
xauth,52680,Unk,FALSE,Network
xclock,59224,Unk,FALSE,System
xdg-dbus-proxy,51200,Unk,FALSE,Network
xditview,111320,Unk,FALSE,System
xdotool,81192,Unk,FALSE,System
xedit,678736,Unk,FALSE,System
xfce4-about,104984,Unk,FALSE,System
xfce4-accessibility-settings,55616,Unk,FALSE,System
xfce4-appearance-settings,72864,Unk,FALSE,System
xfce4-appfinder,145784,Unk,FALSE,System
xfce4-clipman,67800,Unk,FALSE,System
xfce4-clipman-history,75992,Unk,FALSE,System
xfce4-clipman-settings,92376,Unk,FALSE,System
xfce4-color-settings,80192,Unk,FALSE,System
xfce4-display-settings,367320,Unk,FALSE,System
xfce4-keyboard-settings,100672,Unk,FALSE,System
xfce4-mime-helper,67816,Unk,FALSE,System
xfce4-mime-settings,100744,Unk,FALSE,System
xfce4-mouse-settings,88504,Unk,FALSE,System
xfce4-notifyd-config,100512,Unk,FALSE,System
xfce4-panel,363328,Unk,FALSE,System
xfce4-power-manager,235808,Unk,FALSE,System
xfce4-power-manager-settings,170272,Unk,FALSE,System
xfce4-screenshooter,117440,Unk,FALSE,System
xfce4-session,260496,Unk,FALSE,System
xfce4-session-settings,178408,Unk,FALSE,System
xfce4-settings-editor,76168,Unk,FALSE,System
xfce4-taskmanager,149688,Unk,FALSE,System
xfdesktop,465168,Unk,FALSE,System
xfdesktop-settings,195320,Unk,FALSE,System
xfreerdp,690760,Unk,FALSE,Network
