"filename","version","vuln_count","date"
"aria_pack","version_1.1",19,NA
"aria_pack","version_1.0",0,NA
"xhydra","version_3.1.1",0,NA
"xhydra","version_3.1",0,NA
"xhydra","version_3.0",0,NA
"xhydra","version_2.2.1",0,NA
"xhydra","version_2.2",0,NA
"xhydra","version_2.1.post1",74,NA
"xhydra","version_2.1",74,NA
"xhydra","version_2.0",74,NA
"xhydra","version_1.1",74,NA
"xhydra","version_1.0",0,NA
"etterfilter","version_3.1.1",0,NA
"etterfilter","version_3.1",0,NA
"etterfilter","version_3.0",0,NA
"etterfilter","version_2.2.1",0,NA
"etterfilter","version_2.2",0,NA
"etterfilter","version_2.1.post1",80,NA
"etterfilter","version_2.1",80,NA
"etterfilter","version_2.0",80,NA
"etterfilter","version_1.1",80,NA
"etterfilter","version_1.0",0,NA
"whirlpooldeep","version_3.1.1",0,NA
"whirlpooldeep","version_3.1",0,NA
"whirlpooldeep","version_3.0",0,NA
"whirlpooldeep","version_2.2.1",0,NA
"whirlpooldeep","version_2.2",0,NA
"whirlpooldeep","version_2.1.post1",80,NA
"whirlpooldeep","version_2.1",80,NA
"whirlpooldeep","version_2.0",80,NA
"whirlpooldeep","version_1.1",80,NA
"whirlpooldeep","version_1.0",0,NA
"ristretto","version_3.1.1",0,NA
"ristretto","version_3.1",0,NA
"ristretto","version_3.0",0,NA
"ristretto","version_2.2.1",0,NA
"ristretto","version_2.2",0,NA
"ristretto","version_2.1.post1",99,NA
"ristretto","version_2.1",99,NA
"ristretto","version_2.0",99,NA
"ristretto","version_1.1",99,NA
"ristretto","version_1.0",0,NA
"cifsdd","version_3.1.1",18,NA
"cifsdd","version_3.1",0,NA
"cifsdd","version_3.0",18,NA
"cifsdd","version_2.2.1",18,NA
"cifsdd","version_2.2",18,NA
"cifsdd","version_2.1.post1",117,NA
"cifsdd","version_2.1",117,NA
"cifsdd","version_2.0",117,NA
"cifsdd","version_1.1",117,NA
"cifsdd","version_1.0",0,NA
"xclock","version_3.1.1",0,NA
"xclock","version_3.1",0,NA
"xclock","version_3.0",0,NA
"xclock","version_2.2.1",0,NA
"xclock","version_2.2",0,NA
"xclock","version_2.1.post1",99,NA
"xclock","version_2.1",99,NA
"xclock","version_2.0",99,NA
"xclock","version_1.1",99,NA
"xclock","version_1.0",0,NA
"scalpel","version_3.1.1",0,NA
"scalpel","version_3.1",0,NA
"scalpel","version_3.0",0,NA
"scalpel","version_2.2.1",0,NA
"scalpel","version_2.2",0,NA
"scalpel","version_2.1.post1",21,NA
"scalpel","version_2.1",21,NA
"scalpel","version_2.0",21,NA
"scalpel","version_1.1",21,NA
"scalpel","version_1.0",0,NA
"x86_64-linux-gnu-objdump","version_3.1.1",2,NA
"x86_64-linux-gnu-objdump","version_3.1",0,NA
"x86_64-linux-gnu-objdump","version_3.0",2,NA
"x86_64-linux-gnu-objdump","version_2.2.1",2,NA
"x86_64-linux-gnu-objdump","version_2.2",2,NA
"x86_64-linux-gnu-objdump","version_2.1.post1",82,NA
"x86_64-linux-gnu-objdump","version_2.1",82,NA
"x86_64-linux-gnu-objdump","version_2.0",82,NA
"x86_64-linux-gnu-objdump","version_1.1",82,NA
"x86_64-linux-gnu-objdump","version_1.0",2,NA
"grub-mount","version_3.1.1",21,NA
"grub-mount","version_3.1",0,NA
"grub-mount","version_3.0",21,NA
"grub-mount","version_2.2.1",21,NA
"grub-mount","version_2.2",21,NA
"grub-mount","version_2.1.post1",80,NA
"grub-mount","version_2.1",80,NA
"grub-mount","version_2.0",80,NA
"grub-mount","version_1.1",80,NA
"grub-mount","version_1.0",0,NA
"atk6-firewall6","version_3.1.1",0,NA
"atk6-firewall6","version_3.1",0,NA
"atk6-firewall6","version_3.0",0,NA
"atk6-firewall6","version_2.2.1",0,NA
"atk6-firewall6","version_2.2",0,NA
"atk6-firewall6","version_2.1.post1",80,NA
"atk6-firewall6","version_2.1",80,NA
"atk6-firewall6","version_2.0",80,NA
"atk6-firewall6","version_1.1",80,NA
"atk6-firewall6","version_1.0",0,NA
"strings","version_3.1.1",4,NA
"strings","version_3.1",0,NA
"strings","version_3.0",4,NA
"strings","version_2.2.1",0,NA
"strings","version_2.2",0,NA
"strings","version_2.1.post1",0,NA
"strings","version_2.1",0,NA
"strings","version_2.0",0,NA
"strings","version_1.1",0,NA
"strings","version_1.0",0,NA
"sx","version_3.1.1",0,NA
"sx","version_3.1",0,NA
"sx","version_3.0",0,NA
"sx","version_2.2.1",0,NA
"sx","version_2.2",0,NA
"sx","version_2.1.post1",90,NA
"sx","version_2.1",90,NA
"sx","version_2.0",90,NA
"sx","version_1.1",90,NA
"sx","version_1.0",0,NA
"xman","version_3.1.1",0,NA
"xman","version_3.1",0,NA
