"filename","version","findings_count"
"innochecksum","version_0.5",0
"innochecksum","version_0.6",0
"install","version_0.4",505
"install","version_0.5",97
"install","version_0.6",132
"iostat","version_0.4",108
"iostat","version_0.5",62
"iostat","version_0.6",40
"ip","version_0.4",694
"ip","version_0.5",205
"ip","version_0.6",267
"ipcs","version_0.4",37
"ipcs","version_0.5",21
"ipcs","version_0.6",33
"ivstools","version_0.4",108
"ivstools","version_0.5",40
"ivstools","version_0.6",38
"join","version_0.4",41
"join","version_0.5",23
"join","version_0.6",18
"journalctl","version_0.4",74
"journalctl","version_0.5",6
"journalctl","version_0.6",11
"kbxutil","version_0.4",368
"kbxutil","version_0.5",145
"kbxutil","version_0.6",143
"kismetdb_clean","version_0.4",0
"kismetdb_clean","version_0.5",0
"kismetdb_clean","version_0.6",0
"kismetdb_dump_devices","version_0.4",768
"kismetdb_dump_devices","version_0.5",37
"kismetdb_dump_devices","version_0.6",0
"kismetdb_statistics","version_0.4",781
"kismetdb_statistics","version_0.5",39
"kismetdb_statistics","version_0.6",0
"kismetdb_to_gpx","version_0.4",1000
"kismetdb_to_gpx","version_0.5",48
"kismetdb_to_gpx","version_0.6",0
"kismetdb_to_kml","version_0.4",1057
"kismetdb_to_kml","version_0.5",39
"kismetdb_to_kml","version_0.6",0
"kismetdb_to_pcap","version_0.4",0
"kismetdb_to_pcap","version_0.5",0
"kismetdb_to_pcap","version_0.6",0
"kismetdb_to_wiglecsv","version_0.4",1434
"kismetdb_to_wiglecsv","version_0.5",48
"kismetdb_to_wiglecsv","version_0.6",0
"kismet_cap_kismetdb","version_0.4",0
"kismet_cap_kismetdb","version_0.5",0
"kismet_cap_kismetdb","version_0.6",0
"kismet_cap_linux_bluetooth","version_0.4",200
"kismet_cap_linux_bluetooth","version_0.5",46
"kismet_cap_linux_bluetooth","version_0.6",63
"kismet_cap_linux_wifi","version_0.4",252
"kismet_cap_linux_wifi","version_0.5",135
"kismet_cap_linux_wifi","version_0.6",144
"kismet_cap_nrf_51822","version_0.4",180
"kismet_cap_nrf_51822","version_0.5",46
"kismet_cap_nrf_51822","version_0.6",57
"kismet_cap_nrf_52840","version_0.4",197
"kismet_cap_nrf_52840","version_0.5",40
"kismet_cap_nrf_52840","version_0.6",61
"kismet_cap_nrf_mousejack","version_0.4",192
"kismet_cap_nrf_mousejack","version_0.5",51
"kismet_cap_nrf_mousejack","version_0.6",73
"kismet_cap_nxp_kw41z","version_0.4",200
"kismet_cap_nxp_kw41z","version_0.5",42
"kismet_cap_nxp_kw41z","version_0.6",63
"kismet_cap_pcapfile","version_0.4",185
"kismet_cap_pcapfile","version_0.5",38
"kismet_cap_pcapfile","version_0.6",55
"kismet_cap_rz_killerbee","version_0.4",184
"kismet_cap_rz_killerbee","version_0.5",43
"kismet_cap_rz_killerbee","version_0.6",64
"kismet_cap_ti_cc_2531","version_0.4",194
"kismet_cap_ti_cc_2531","version_0.5",44
"kismet_cap_ti_cc_2531","version_0.6",65
"kismet_cap_ti_cc_2540","version_0.4",194
"kismet_cap_ti_cc_2540","version_0.5",44
"kismet_cap_ti_cc_2540","version_0.6",63
"kismet_cap_ubertooth_one","version_0.4",185
"kismet_cap_ubertooth_one","version_0.5",45
"kismet_cap_ubertooth_one","version_0.6",62
"kmod","version_0.4",448
"kmod","version_0.5",285
"kmod","version_0.6",317
"l2ping","version_0.4",28
"l2ping","version_0.5",26
"l2ping","version_0.6",26
"l2test","version_0.4",34
"l2test","version_0.5",27
"l2test","version_0.6",27
"ld","version_0.4",2907
"ld","version_0.5",0
"ld","version_0.6",0
"ldapcompare","version_0.4",70
"ldapcompare","version_0.5",43
"ldapcompare","version_0.6",36
"ldapdelete","version_0.4",68
"ldapdelete","version_0.5",68
"ldapdelete","version_0.6",30
"ldapexop","version_0.4",69
"ldapexop","version_0.5",42
"ldapexop","version_0.6",36
"ldapmodify","version_0.4",92
"ldapmodify","version_0.5",42
"ldapmodify","version_0.6",31
"ldapmodrdn","version_0.4",80
"ldapmodrdn","version_0.5",41
"ldapmodrdn","version_0.6",30
"ldappasswd","version_0.4",69
"ldappasswd","version_0.5",44
"ldappasswd","version_0.6",33
"ldapsearch","version_0.4",90
"ldapsearch","version_0.5",86
"ldapsearch","version_0.6",52
"ldapwhoami","version_0.4",67
"ldapwhoami","version_0.5",40
"ldapwhoami","version_0.6",29
"ldrdf","version_0.4",46
"ldrdf","version_0.5",55
"ldrdf","version_0.6",29
"lefty","version_0.4",492
"lefty","version_0.5",273
"lefty","version_0.6",285
"less","version_0.4",288
"less","version_0.5",121
"less","version_0.6",132
"lexgrog","version_0.4",41
"lexgrog","version_0.5",17
"lexgrog","version_0.6",20
"light.locker","version_0.4",29
"light.locker","version_0.5",1
"light.locker","version_0.6",0
"line_send_tcp","version_0.4",342
"line_send_tcp","version_0.5",116
"line_send_tcp","version_0.6",124
"ln","version_0.4",97
"ln","version_0.5",51
"ln","version_0.6",66
"loadkeys","version_0.4",156
"loadkeys","version_0.5",64
"loadkeys","version_0.6",67
"locale","version_0.4",62
"locale","version_0.5",25
"locale","version_0.6",21
"localedef","version_0.4",1235
"localedef","version_0.5",336
"localedef","version_0.6",0
"logger","version_0.4",40
"logger","version_0.5",50
"logger","version_0.6",44
"login","version_0.4",80
"login","version_0.5",51
"login","version_0.6",60
"loginctl","version_0.4",0
"loginctl","version_0.5",0
"loginctl","version_0.6",1
"logtop","version_0.4",1017
"logtop","version_0.5",19
"logtop","version_0.6",35
"lowntfs.3g","version_0.4",141
"lowntfs.3g","version_0.5",80
"lowntfs.3g","version_0.6",86
"ls","version_0.4",234
"ls","version_0.5",158
"ls","version_0.6",123
"lsblk","version_0.4",55
"lsblk","version_0.5",49
"lsblk","version_0.6",45
"lsciphers","version_0.4",0
"lsciphers","version_0.5",658
"lsciphers","version_0.6",575
"lscpu","version_0.4",137
"lscpu","version_0.5",66
"lscpu","version_0.6",68
"lsipc","version_0.4",73
"lsipc","version_0.5",39
"lsipc","version_0.6",53
"lslogins","version_0.4",43
"lslogins","version_0.5",47
"lslogins","version_0.6",34
"lsmem","version_0.4",46
"lsmem","version_0.5",28
"lsmem","version_0.6",29
"lsns","version_0.4",38
"lsns","version_0.5",16
"lsns","version_0.6",28
