"","version_0.4","version_0.5","version_0.6","filename"
"rdma",161,63,66,"rdma"
"readelf",736,87,59,"readelf"
"readlink",93,25,25,"readlink"
"realpath",105,27,32,"realpath"
"rearj",196,59,55,"rearj"
"reaver",531,267,333,"reaver"
"recordmydesktop",247,104,129,"recordmydesktop"
"redir",484,21,18,"redir"
"rendercheck",69,42,22,"rendercheck"
"replace",1079,228,248,"replace"
"resizepart",48,33,45,"resizepart"
"resolvectl",62,24,28,"resolvectl"
"resolveip",1072,241,258,"resolveip"
"resolve_stack_dump",1089,241,258,"resolve_stack_dump"
"rfcomm",32,36,35,"rfcomm"
"ristretto",215,4,16,"ristretto"
"rm",193,35,49,"rm"
"rmdir",61,26,28,"rmdir"
"rpcclient",0,0,0,"rpcclient"
"rpcgen",0,0,0,"rpcgen"
"rsync",0,0,0,"rsync"
"rx",55,16,14,"rx"
"rz",55,16,14,"rz"
"sadf",670,215,150,"sadf"
"samba-regedit",198,22,23,"samba-regedit"
"sane-find-scanner",149,101,83,"sane-find-scanner"
"sar.sysstat",316,137,121,"sar.sysstat"
"sb",38,12,8,"sb"
"sbd",131,20,20,"sbd"
"scalpel",90,80,56,"scalpel"
"scanimage",8,0,0,"scanimage"
"scp",140,134,125,"scp"
"screen",1208,505,487,"screen"
"script",104,19,20,"script"
"scriptlive",57,18,19,"scriptlive"
"sdptool",115,63,72,"sdptool"
"sed",210,66,105,"sed"
"sendmsrpc",360,120,120,"sendmsrpc"
"seq",0,0,0,"seq"
"sftp",214,170,193,"sftp"
"sha1deep",584,0,0,"sha1deep"
"sha1sum",30,15,20,"sha1sum"
"sha224sum",20,16,21,"sha224sum"
"sha256deep",584,0,0,"sha256deep"
"sha256sum",20,16,21,"sha256sum"
"sha384sum",20,16,21,"sha384sum"
"sha512sum",20,16,21,"sha512sum"
"sharkd",0,0,0,"sharkd"
"shred",56,45,42,"shred"
"shuf",95,22,21,"shuf"
"size",2485,0,0,"size"
"skipfish",1118,650,937,"skipfish"
"smbclient",79,46,40,"smbclient"
"smbcontrol",34,21,43,"smbcontrol"
"snmpnetstat",39,115,41,"snmpnetstat"
"socat",0,0,0,"socat"
"sort",217,70,68,"sort"
"speech-dispatcher",166,61,137,"speech-dispatcher"
"split",34,29,26,"split"
"spooftooph",140,116,106,"spooftooph"
"sqldiff",0,0,0,"sqldiff"
"sqlite3",0,0,0,"sqlite3"
"sqsh",145,0,0,"sqsh"
"ss",127,110,120,"ss"
"ssh",1031,400,880,"ssh"
"ssh-add",303,206,421,"ssh-add"
"ssh-agent",250,168,379,"ssh-agent"
"ssh-keygen",483,256,629,"ssh-keygen"
"ssh-keyscan",465,271,489,"ssh-keyscan"
"sslsplit",408,127,147,"sslsplit"
"ss_spike",344,119,119,"ss_spike"
"stat",137,91,90,"stat"
"statd_spike",345,115,120,"statd_spike"
"stdbuf",71,34,36,"stdbuf"
"strace",0,0,0,"strace"
